#Hydration free energy datbase v0.52, 6/11/17.
#Semicolon-delimited text file with fields in the following format:
# compound id (and file prefix); SMILES; iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem); experimental value (kcal/mol); experimental uncertainty (kcal/mol); Mobley group calculated value (GAFF) (kcal/mol); calculated uncertainty (kcal/mol); experimental reference (original or paper this value was taken from); calculated reference; text notes.
mobley_1017962; CCCCCC(=O)OC; methyl hexanoate; -2.49; 0.60; -3.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_129464; CCCCOCCCC; 1-butoxybutane; -0.83; 0.60; 0.14; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1323538; CCOP(=O)(OCC)OCC; triethylphosphate; -7.50; 0.20; -10.25; 0.04; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_1328465; C(C(Cl)Cl)Cl; 1,1,2-trichloroethane; -1.99; 0.60; -0.38; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1328936; COC(=O)c1ccc(cc1)[N+](=O)[O-]; methyl 4-nitrobenzoate; -6.88; 0.60; -6.59; 0.03; 10.1139/v92-210; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1352110; CCCCN(CC)C(=O)SCCC; pebulate; -3.64; 1.93; -4.57; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1363784; Cc1cc(cnc1)C; 3,5-dimethylpyridine; -4.84; 0.60; -2.87; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1396156; c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O; pentachloronitrobenzene; -5.22; 0.25; -1.28; 0.04; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1417007; C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl; captan; -9.01; 1.93; -8.72; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Renamed mobley_1417007 from captan to (3aR,7aR)-2-(trichloromethylsulfanyl)-3a,4,7,7a-tetrahydroisoindole-1,3-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_1424265; Cc1cccc(c1)C; m-xylene; -0.83; 0.60; -0.70; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1449384; Cc1ccc(cc1)C(C)C; 1-isopropyl-4-methyl-benzene; -0.68; 0.60; -0.46; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1469079; c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl; 2,3-dichlorodibenzo-p-dioxin; -3.56; 1.00; -3.59; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1502181; CCCCCCCC(=O)C; nonan-2-one; -2.49; 0.60; -2.56; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1520842; Cc1ccncc1; 4-methylpyridine; -4.93; 0.60; -3.34; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1527293; C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O; flurbiprofen; -8.42; 0.16; -13.95; 0.05; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Renamed mobley_1527293 from flurbiprofen to (2S)-2-(3-fluoro-4-phenyl-phenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_1563176; CCCCS; butane-1-thiol; -0.99; 0.60; -0.17; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1571523; Cc1cccc(c1C)O; 2,3-dimethylphenol; -6.16; 0.60; -5.15; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1592519; CCCCCC(=O)OCC; ethyl hexanoate; -2.23; 0.60; -2.93; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1615431; CC(C)OC(C)C; 2-isopropoxypropane; -0.53; 0.60; -0.18; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1636752; CO; methanol; -5.10; 0.60; -3.49; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1650157; CC(C)(C)O; 2-methylpropan-2-ol; -4.47; 0.60; -3.29; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1659169; C1COCCN1; morpholine; -7.17; 0.60; -6.12; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1662128; CCC=C; but-1-ene; 1.38; 0.60; 2.37; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1674094; CCCCC#C; hex-1-yne; 0.29; 0.60; 0.55; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1708457; CS(=O)(=O)C; methylsulfonylmethane; -10.08; 0.60; -10.56; 0.03; J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1717215; COC=O; methyl formate; -2.78; 0.60; -4.03; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1722522; CCCC(=O)OCC; ethyl butanoate; -2.49; 0.60; -3.38; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1723043; C1(C(C(C1(F)F)(F)F)(F)F)(F)F; octafluorocyclobutane; 3.43; 0.03; 3.08; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1728386; c1ccc(cc1)C(=O)N; benzamide; -11.00; 0.20; -10.41; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_172879; c1ccc2c(c1)Oc3ccccc3O2; dibenzo-p-dioxin; -3.15; 0.10; -4.90; 0.02; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1733799; c1cc(ccc1O)Br; 4-bromophenol; -5.85; 0.83; -5.83; 0.03; 10.1039/J29710000533 and 10.1007/BF00646936; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 10/22/13 from J. Peter Guthrie (University of Western Ontario) taken as a weighted average of the values -7.13 from a Cabani review, and -5.24 from experimental data from Parsons, Rochester, and Wood (see reference). The weighting gives preference to the latter since it gives source data.  
mobley_1735893; CCCCCC(=O)O; hexanoic acid; -6.21; 0.60; -7.88; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1743409; CCOC(=O)CCC(=O)OCC; diethyl butanedioate; -5.71; 0.60; -8.68; 0.05; 10.1139/v91-2; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1755375; Cc1cccc(c1O)C; 2,6-dimethylphenol; -5.26; 0.60; -4.31; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1760914; Cc1ccccc1Cl; 1-chloro-2-methyl-benzene; -1.14; 0.60; -0.47; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1770205; COP(=S)(OC)SCn1c(=O)c2ccccc2nn1; 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one; -10.03; 1.37; -14.11; 0.06; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from azinphosmethyl to 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one for better handling/standardization.  
mobley_1781152; CC(C)(C)C(=O)OC; methyl 2,2-dimethylpropanoate; -2.40; 0.60; -3.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1792062; C(CBr)Br; 1,2-dibromoethane; -2.33; 0.60; -1.27; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1800170; CCS; ethanethiol; -1.14; 0.60; -0.40; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1803862; CCC(C)C; isopentane; 2.38; 0.60; 2.59; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1821184; Cc1c[nH]c2c1cccc2; 3-methyl-1H-indole; -5.88; 0.60; -8.16; 0.03; 10.1021/bi00507a030; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1827204; CCCCCC=O; hexanal; -2.81; 0.60; -2.86; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1838110; C(C(F)(Cl)Cl)(F)(F)Cl; 1,1,2-trichloro-1,2,2-trifluoro-ethane; 1.77; 0.60; 1.69; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1849020; CCOP(=S)(OCC)SCSc1ccc(cc1)Cl; 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane; -6.50; 0.83; -7.02; 0.05; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from carbophenothion to 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane for better handling/standardization.  
mobley_1855337; c1c(cc(c(c1Cl)Cl)Cl)Cl; 1,2,3,5-tetrachlorobenzene; -1.62; 0.60; 0.14; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1857976; C(CCl)Cl; 1,2-dichloroethane; -1.79; 0.60; -0.36; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1858644; c1ccc(cc1)CCO; 2-phenylethanol; -6.79; 0.60; -5.28; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_186894; CCCS; propanethiol; -1.10; 0.20; -0.18; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_1873346; Cc1ccccc1; toluene; -0.90; 0.20; -0.79; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_1875719; CCC(=O)CC; pentan-3-one; -3.41; 0.20; -3.05; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_1881249; CCCC(=O)C; pentan-2-one; -3.52; 0.60; -3.17; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1893815; C(C(Cl)(Cl)Cl)Cl; 1,1,1,2-tetrachloroethane; -1.43; 0.10; -0.09; 0.03; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1893937; CCCCCCCl; 1-chlorohexane; 0.00; 0.60; 1.26; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1896013; C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O; (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol; -20.52; 0.27; -14.15; 0.08; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from d-xylose to (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol for better handling/standardization.  
mobley_1899443; CCCC(=C)C; 2-methylpent-1-ene; 1.47; 0.60; 2.49; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1903702; CC[C@H](C)O; butan-2-ol; -4.62; 0.60; -3.15; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_1903702 from butan-2-ol to (2S)-butan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_1905088; c1ccc(cc1)CBr; benzyl bromide; -2.38; 0.20; -1.85; 0.03; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_1922649; COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-]; methylparathion; -7.19; 0.10; -10.47; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from methyparathion to methylparathion for better handling/standardization.  
mobley_1923244; CCCC; n-butane; 2.10; 0.20; 2.59; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_1929982; S; hydrogen sulfide; -0.70; 0.60; -1.14; 0.01; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_194273; CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br; bromacil; -9.73; 1.93; -14.50; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Renamed mobley_194273 from bromacil to 5-bromo-6-methyl-3-[(1S)-1-methylpropyl]-1H-pyrimidine-2,4-dione (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_1944394; CN(C)CCOC(c1ccccc1)c2ccccc2; [2-benzhydryloxyethyl]-dimethyl-amine; -9.34; 0.62; -7.87; 0.06; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1952272; C[N+](=O)[O-]; nitromethane; -4.02; 0.60; -2.08; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1963873; CC(=O)NC; N-methylacetamide; -10.00; 0.60; -8.28; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1967551; CC=O; acetaldehyde; -3.50; 0.60; -3.37; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_197466; CC(=O)C1CC1; 1-cyclopropylethanone; -4.61; 0.60; -3.04; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1976156; CCCCCCCCC=O; nonanal; -2.07; 0.60; -2.34; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1977493; CCCCl; 1-chloropropane; -0.33; 0.60; 0.97; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1987439; Cc1cc(cc(c1)C)C; mesitylene; -0.90; 0.60; -0.55; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2005792; c1ccc(cc1)c2ccccc2; biphenyl; -2.70; 0.20; -3.14; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  Changed IUPAC name from biphenyle to biphenyl for better handling/standardization.  
mobley_2008055; CC; ethane; 1.83; 0.60; 2.46; 0.01; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2023925; [C@@H](C(F)(F)F)(OC(F)F)Cl; 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane; 0.10; 0.60; -1.16; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_2023925 from 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane to (2R)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_2043882; CC(=O)C1CCCCC1; 1-cyclohexylethanone; -3.90; 0.60; -4.00; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2049967; CCSC; methylsulfanylethane; -1.50; 0.20; 0.39; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  Changed IUPAC name from ethylmethylsulfide to methylsulfanylethane for better handling/standardization.  
mobley_20524; c1ccc(cc1)O; phenol; -6.60; 0.20; -5.71; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_2068538; CCC; propane; 2.00; 0.20; 2.50; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_2078467; C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O; ibuprofen; -7.00; 0.64; -10.86; 0.05; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2099370; C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O; ketoprofen; -10.78; 0.18; -17.24; 0.06; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Renamed mobley_2099370 from ketoprofen to (2S)-2-(3-benzoylphenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_210639; CC(C)I; 2-iodopropane; -0.46; 0.60; -0.49; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2123854; c1cc(ccc1C#N)O; 4-hydroxybenzonitrile; -10.17; 0.60; -8.39; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2126135; CCc1ccccc1O; 2-ethylphenol; -5.66; 0.10; -4.77; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2143011; CC(C)C=C; 3-methylbut-1-ene; 1.83; 0.60; 2.45; 0.02; 10.1021/jp0264477; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2146331; C=O; formaldehyde; -2.75; 0.60; -3.15; 0.01; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Formaldehyde is covalently hydrated in water. Our value here is the true free energy of hydration (based on the concentration of formaldehyde in gas vs in water) as opposed to the apparent one. See Guthrie, J. P., J. Am. Chem. Soc. 2000, 122, 5529-5538.  
mobley_2178600; CCCCCCl; 1-chloro-pentane; -0.10; 0.20; 1.08; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_2183616; CC[C@H](C)c1ccccc1; sec-butylbenzene; -0.45; 0.60; -0.22; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_2183616 from sec-butylbenzene to [(1S)-1-methylpropyl]benzene (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_2197088; CCCCCCCCCC; decane; 3.16; 0.60; 3.33; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2198613; CCCl; chloroethane; -0.63; 0.60; 0.78; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2213823; CCC(C)CC; 3-methylpentane; 2.51; 0.60; 2.61; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2245668; CC(C)CO; 2-methylpropan-1-ol; -4.50; 0.60; -3.13; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2261979; c1cc2cccc3c2c(c1)CC3; acenaphthene; -3.15; 0.60; -4.20; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2269032; C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O; naproxen; -10.21; 0.18; -12.20; 0.05; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2279874; COC(OC)OC; trimethoxymethane; -4.42; 0.60; -4.62; 0.03; 10.1039/F19736901577; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2294995; CCOC=O; ethyl formate; -2.56; 0.60; -3.87; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2295058; COC(=O)c1ccc(cc1)O; methyl paraben; -9.51; 0.26; -9.79; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2310185; CCO; ethanol; -5.00; 0.60; -3.39; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
